names,stars,dates,reviews
Jaydipsinh Rathod,5,2021-08-10,Very useful and best app for any problem related to agriculture. Give accurate solutions instantly.
Mausam Patel,5,2021-07-17,Excellent app and very Useful to farmers direct for best knowledge through video and audio for all agriculture related activities.
Harshal Parekh,5,2019-06-14,Agrimedia Really working hard for the farmers. thanks for aware new technics. it's help a lot. thanks once again.
Janvi DIHORA,5,2021-07-17,Technology can solve most difficulties of farmers. This application is very useful and informative for them.
Darshana Patel,5,2021-07-17,This is good app as I can lean more about farming and even this app helps farmers to do more better farming. This app is really very good 👌
seenu mohan,5,2020-10-15,Seeing is believing! Videos are the simplest and most effective tools of communication
Chaudhari Meghna,5,2021-07-16,It's a very good app. Available many languages so easy to understand.
Mayur Ghadiya,5,2021-07-19,It contain basic to advance level of content in easy way so its understandable to farmer.
AAZAD Patel,5,2021-07-28,"Very helpful and also can increase knowledge about horticulture , natural farming , animal husbandry , rural development etc."
Yashvant Navadiya,5,2021-07-19,It's a good app for agricultural things and people can learn so many things with the help of this application.
Mbgohil Ajay,5,2021-08-12,"Great job agri media family by this app information easily available for everyone , and be helpful in daily life. Keep it up, Have a nice day, thank you"
Dharati Acharya,5,2020-12-21,Really its too much helping and it contains too good informations for farmers as well as students like us
Sachin Kumar,1,2019-06-05,"very bad app. even after updating, it keeps saying you cant use because update is required"
Rising star,4,2021-07-11,"Knowledgeable and helpful app for farmers,to know about there agriculture,super!,give you best e-book name suggestions to be healthy and fit for rural areas farmers"
Chaudhary Naresh,5,2021-07-22,"this app is very useful for farmers and students than agriculture. available in 3 languages. hindi, gujarati and english"
vipul gadhiya,5,2020-11-30,"Really very useful and informative app for Farmers, Students, Researcher, Extension worker and Scientist."
JAYESH MALI,5,2021-07-17,totally love this app and its layout is very easy to use great work👍
Manav md,5,2021-07-17,Very informative and useful for students and farmers.
suresh dabhi,5,2020-11-06,Very useful and exellent app for farmers and provide useful information about farming.
Janaksinh Jadeja,5,2021-03-11,Good application & Good approach towards digital Agriculture. Keep it up...
Rutvik Ramani,5,2021-07-17,"It is good app, available in hindi also, and useful too.."
Aniruddh Chauhan,5,2021-08-08,Very good app for farmers. Very detailed information of all crop.
Priyank Sejpal,5,2021-08-06,"Realy very useful app and increases knowledge about horticulture, animal hudbandary and many more subjects related to agriculture.Great app👌👌"
Harshit Chandel,3,2019-08-07,this Application is good but videos stop after 2 minute . internet is very slow in this app. please fix it or do video quality is low
Niru Karsala,5,2021-07-19,This app is really good. Very useful for agriculture students and farmers...
Rameshbhai Pansuriya,5,2020-12-11,"very good and easy to use and best for farmers future, thanks."
Deeparam Mali,5,2021-07-17,Great appreciation.very good and easy to use and best for new generation of farmers
Gunjan Satasiya,5,2019-01-09,Best and useful app in the era of digitalisation in agriculture sector.
parita vaghela,5,2021-07-17,Very nice app..beneficial for us and getting many more information from it..I like it..
Hinesha chaudhari,5,2021-07-16,It's very good app and very useful app for the farmers to know about new modern agricultural technology......
Jeemit Kansagra,5,2021-07-28,Very nice app..beneficial for us and getting many more information from it..I love it..
A Google user,2,2019-01-06,there are lots of ads... its terrible
Suresh Patel,5,2021-07-28,I have tried a lot of app with a similar purpose but this is by far the best. Nice experience.
LABHUBHAI ARVADIYA,5,2021-07-10,"Excellent, Helpful, Best efford for helping farming comunity."
Jay Naghera,5,2021-08-03,It is useful... Good Knowledge source.... Videos are very useful...
Shah Umesh,5,2021-07-19,It's a great app for agri students and professionals too..
Ketan Solanki,4,2021-02-09,This is best app for farmer and students also for getting information and farmer problem solving
Anirudhsinh Jadeja,4,2021-02-01,"Very useful app, but it can be improved.."
Jiten Shukla,5,2020-12-21,"progressive n real useful app ,a transperant approach foe development in agriculture ,👌"
Chauhan Kaushik,5,2022-03-09,amazing app and farmer related any problem solve this app.
Prakash Kamale,4,2022-03-05,Very good and helpful in dealy agry programme
Veljibhai Bhanderi,5,2019-10-02,Fertilizer calculate is new update very useful for all Fertilizer companies... I used it fantastic update of agrimedia app.
Solanki Jayendrasinh,5,2019-05-28,good and informative app for farmer and other who interested to know more
Dhara Kapadia,5,2022-01-20,Excellent application providing all necessary information regarding agriculture n technologies....!!
Rajkumar Kapuriya,5,2021-07-19,This is the best app that I have used great working speed great features
Vivek Prajapati,5,2021-07-16,Very good application for farmers and easy to use
Hrushikesh Vaddoriya,5,2021-07-17,Very informative and fruitfull application.
Milan Bambhroliya,5,2021-07-19,"It's very good application, this application is very useful and informative for them."
Abhishek Goti,5,2021-07-17,This app is very useful for farmers and agri graduates.. Amazing app.
Raj Dhruvrajsinh,5,2021-07-23,It's very nice applications and informative for farming
Harsh Maru,5,2020-12-03,Very informative and useful application..👏
Vishnu kumar Sharma,5,2021-07-17,Very useful app for agriculture purpose and Horticulture aspects.
hinal langadiya,5,2021-07-17,Excellent and very good application and also veru useful
Shubham Patidar,5,2021-07-19,I love this app because they provide all information related to Agricultural sector and usefull for farmer.
Ponkiya Harshil,4,2021-08-03,"It's a good application, overall it's helping to increasing the farmer's production......"
Jadav Kanchan,5,2021-08-02,Informative app and videos are very useful for rural development because I am Panchayat mantri
PVC pipe upvc pipe,5,2019-08-06,very good app .excellent service and help
Dr.Ajit Srivastava,5,2019-10-18,Very informative and easy.
