names,stars,dates,reviews
Regixxx,5,2021-02-15,Very good app
mahaveer jakkannavar,1,2022-01-21,Very bad experience with a 1st order And items are very costly than outside market Some items about to expire such items they are selling
Chandra Tejni,5,2022-02-04,"One stop app for everything related to agriculture products , and it's very informative"
Navneet Sharma,5,2022-02-04,Very user friendly app for farmers and everything is avaliable.
RAVINDER SINGH,1,2022-02-02,"Not working properly ,I placed an order it was not packed for 5,7 days, Every time Otp asks for login, whenever you open the app , 0 rating apps"
Anuj Jafrain,5,2022-02-10,Very good app very easy to use and helpful for farmers Fully satisfied experience
Maseel Jafar,5,2022-02-04,Easy to understand as there is language preference
adari srinivasrao,5,2022-03-16,"Such a great experience i have ever seen,it is very help full to us."
Biswajit Kalita,5,2022-03-06,"Dear team,, Good quality Seeds, fartilizer ,pasticied & implement ,I don't have any regret I have been buying products for 7 years i like it,, sush platform are very rare kisan Vedika is the most liked, l recommend them"
anushka kaushik,5,2022-02-08,I really like it!!!!! Nice app.... Easy to use. Anyone looking for any agri. Based app use it.👍
vignesh vikki,5,2022-03-26,"Great effort by the team, tremendous work"
Prof. Dr. RONILSON DE SOUZA SANTOS SANTOS,5,2020-03-22,It's a good app
Sagar Awati,5,2022-03-23,It will be help full for farmers they can get the crop related information quickly and effectively Good app 👍
reebz maria,1,2022-02-09,"Just posted a complaint on consumer forum. I ordered product from bighaat,my payment got debited but still no delivery of product. I messaged on WhatsApp no then they reordered again.They said I will receive product within 5-6 days but I didn't got till now. Very soon I am planning to come to your office also planning to take legal action on your company."
Velaga Ram Ganesh,5,2022-02-18,Very good products and services are also good ☺️
NIKITHA REDDY,5,2022-03-23,This is great app all product like agriculture seed pesticides fungicide implement and fertilizers products It is wonderful platform to farmer
Madhu Kumar,2,2020-09-10,"This app really really needs lot of work , not a user friendly APP below are the list of things which you can add refine filter option provide Filter with various combination provide add to cart option when we are viewing through the filter , i dont have to click the product and then i see the ""add to cart"" and now i have to hit back and come again"
Lavanya Hemanth Kumar,5,2022-01-19,Timely delivery and best delivery 👍🏻
Ashok Rapaka,5,2022-03-14,"Very nice appa,all products available here"
A Google user,4,2019-03-28,"When I try to open this app by directly clicking on app it opens but doesn't show anything, it's just a blank page but when I search in Google chrome and then open the app from there then I can browse the app. Please fix this bug. Other than that I am haapy with the app for its huge product pool. I ordered a few varieties of ridge gourd though I am yet to receive them. Will post after planting and harvesting them."
Prajwal Urkude,5,2022-02-08,Very user friendly app for the farmers.
Surya Surya,5,2022-02-18,Good products and services
Ihenagwam Samogidi,1,2020-09-09,Can find the tractors I want
Hemasundar Marri,5,2022-02-04,Very good app.. Easy to order.
Veeramani Kothuri,5,2022-02-18,These products are very useful and services are good 👍
Gaurav Gaydhane,5,2022-02-04,Very user friendly app for farmers.
Lucky mouli Chowdaury,5,2022-02-18,This is the best app for agricultural products and staff service is good and dealing with the customers is excellent and delivery of the products also good thankyou
Konda Ravikiran,5,2022-03-15,Very useful app for farmers
Explore World,2,2021-05-26,Worst follow up of order and inventory.. Half the products are not available even after a second wait although it shows it's available.Prices are very high comparing other sites. The team doesn't know what is available and what is not.No point ordering although everything else is attractive.If the situation was for one product it is understable but not for every second product.. Waste of money.. App ordering doesn't work with stock in hand (avaible)no notifications. Toll free number not working.
Naveen Kohli,5,2022-02-18,Good products and good service 👍
Nagadevi Dadi,5,2022-02-18,good products and services is also good👍👍
Chaitu Chaitu,5,2022-02-18,These products are very useful thank you
vdivvu v,5,2020-10-06,It was so easy to order on BigHaat. It has a wide selection of all products and has offers running from time to time. The app loads fast and is very responsive. I stay in Andaman and they deliver in reasonable time. Thanks BigHaat.
Sundrlal Selukar,5,2022-02-22,सुंदरलाल सेलुकर
Ram Reddy,5,2022-02-18,Good products and services are good👍👍
Rameshbabu 22299,5,2022-02-18,Dealing with this product is so good thanks
Sai Ram,5,2022-03-24,Good and excellent work 👍
syamu nara,5,2021-11-17,"I am very happy with this app, as it is very easy to understand, can select whatever language we are comfortable with, there are many different products with images which makes easy for the user to understand"
Subhashree Nayak,1,2021-10-26,I have been a Big Haat customer for over two years. Recently I have very bad experience with the delivery of items that I had ordered. In spite of repeated calls they are not very cooperative. My suggestion to fellow farmers to be cautious while ordering from them.
SRINU POTTAGARLA,5,2022-03-16,It is very helpful young farmers like me
Rachit Aiyanna,1,2021-11-29,This app does not show actual inventory.. and never do prepaid orders... Shipments take ages to pack and deliver ... Even after contacting customer support the shipment is pending... Not very genuine organisation I feel
Vvavprasad Tadepalli,5,2022-03-13,This is very useful app for farmers
MANEESHA KAUSHIK,5,2022-02-04,Very useful for farmers
Tony Sasikanth,5,2021-11-24,It is Very Usefull And Helpfull App for Farmers. As it contains the information of Everything which required for Cultivation from Seed to Seed. Not only Crops it contains information regarding Livestook too... And it is Simple to use.
Nichola Okoth,5,2020-10-05,Goood
Santosh P,5,2022-03-25,Good app for farmers they can get crop related information ☺️
uday chakma,1,2021-11-09,"Third class application. Even after repeated complaints,the team never solve the issue. Even every install after one day view account section goes of. Until u guys solve the issue I will give 1star."
Yogendra Rajpoot,5,2022-02-05,Easy to use...Very good app happy to use
Sushanta Das,5,2022-03-23,"Best for youth farmers😍😍😍😍😍,"
Chandan kp,5,2022-03-25,Good app for farmers
Athul Francis,2,2021-10-27,"Never do prepaid order.they will only check whether the product is in stock after the payment.I ordered upl avancer glow which was shown in stock and after payment there was no information.so I contacted their customer care,they told me that the product is out of stock.it took 15 days for the refund. if you are ordering do cash on delivery.still it will take 15-20 days for delivery."
RAJESH KOPPULA,5,2022-03-21,Very use full for us
Gani Ganapathi,5,2022-03-21,Very useful farmer app
B Kutumabarao,5,2022-03-14,Very helpful happy to farmer's
Tania Bhattacharjee,5,2022-02-04,It is very user friendly.
William Odongo,5,2020-10-04,Great
ram kripal rai,2,2020-09-14,"Very poor customer care services, executive are call after a long time from your call. After payment there is no confirmation repot when they will delivere your order or payment confirmation. I will not recommended to load this app because it has many problems."
Nagaraj Morusu,5,2020-06-27,"I am very happy with Bighaat application and it's services.Bighaat provides you quality and genuine products with reasonable price. Also, we will get different products like fertilizer, pesticides, etc (all in one). Thank you Bighaat and team."
Soldier Singhdeo,5,2021-07-03,Now farming is as simple as we used to do by fetching products from this BiHaat application in reasonable price and quality. Don't go for negative comments as they had not practiced proper way. My experience is that I got my product even if it was unavailable. They called me and placed the order by themselves. T Its a good application which provide quality and accurate service to farmers as per their requirements. Thanks BigHaat. 👍
"Shruthi ,B.N",5,2021-03-24,Very useful app and farmer's friendly. Team has supported me to select right variety for my location. Great thanks to BigHaat. Keep supporting and give more services to Farmers.
Arvind Kumar,1,2020-01-10,"Worst app, very poor service. I ordered twice,but I did not get the product. Customer care number is also not working. Tried much but did not get response."
"Shwetha, Pratham",5,2021-04-17,Very useful farmer friendly app. Team is very supportive in choosing location related crops and responds very well for all the queries. Thank you BigHaat.
Saurabh sharma,5,2020-06-28,"Wide varity of product, with the good quality. The services are also very good. I recomend any one who is intrested in buying agri product should try this. Good work Bighaat. Keep it up."
Harish,4,2021-06-18,"A big thanks to the team #BigHaat.👍👍👍 The app is very resourceful to farmers, agriculturists, and for everyone who are willing to work in fields. Very handy to order almost all varieties of insecticides and pesticides, and also excellent customer support 24/7. All payment options are available except pay later."
Chinnakotla bhargava tgWKxMuEdG,5,2020-10-13,Indeed it has been a great experience with bighaat ( agriculture app). Forums provided are informative and resourceful. The great agronomists like sanjeey sir advices and suggestions regarding the usage of fertilizers and pesticides to our crops are very useful.
Jagdeep Singh,3,2021-07-10,"This app never run out of bugs. I want to cancel an order but there is not option to do so. Now, I am gonna accept the delivery!!"
Rosheed Abdul ganiy,5,2021-02-19,Interested
mallevalla raviteja,5,2020-10-30,Very useful to farmers... <3 thank you so much guys.. Best app... Multi languages are very helpful to farmers really happy... Hope it will create wonders........ Best app... I. Wish more language should be there... Plz add tamil kannada malayalam more helpful guys..
chikke gowda,5,2021-04-08,I am really impressed with the app. I specailly like the crop doctor feature in that very convenient and easy.
Nethra Chethan,5,2021-04-17,"Very useful for all the farmers, user friendly app, team is very supportive, helps out with queries."
Ajay Sarkar,1,2020-07-31,"Screen become white, unable to use the app. Your concept is very good, but you need to refine the app."
Sekhar T,5,2021-01-30,Firstly I said thanks to BigHaat. It is very useful to farmers for purchase of different types of seeds and the product quality is so good and reasonable prices. Customer care service is soo good. THANKS TO BigHaat.
Prathibha Narayan,5,2021-04-06,"Farmer friendly App, really very useful to get all kind of information. Kisan vedika, crop docter helps us a lot. Even their delivery services and advisory services giving great support to all the farmers."
Prasad Chilukuri,5,2022-02-04,Very good app for farmers
Sailaja Pampani,1,2020-06-06,"Worst app... I really liked it first, and made a purchase. After purchase, app showing only blank page. I don't know what happened to my purchase. Will I get my products???"
Pratik Bagde,1,2021-07-11,They delivered expired item ith name of offer most of the time.I ordered 2 bottles of insecticide and got only 1.Customer support is 0.Once order is delivered you can't contact them on given number.Their customer care number is always out uf reach.
Raj kumar,5,2022-03-16,It is very informative 👍
Jake Venter,5,2020-04-14,Makes very accurate crop circles. Just uploaded your favourite picture then sit back and relax while the tractor cuts it in great detail into your crop.
Jack Kokoma,4,2019-12-01,Works accurate
Akhil Kumar,5,2020-06-28,"It's a great app for purcchse good quality products, number of brands available, we can choose wich we want, and they are giving very good Advisery, Good wook keep going"
satyanarayana kamma,5,2020-12-17,"This app is very helpful to farmers , but there is some delay in delivery of the product. Except this remaing is super..!"
hemanth kumar,5,2022-03-16,This is the best agriculture farming app nice
Shiva Avala,5,2022-03-19,Good app farmers in use full
Afif Ahmed,5,2021-03-01,"I really love the app, it has a clean and user friendly interface along with crop doctor and a forum for farmers to share their experiences and difficulties."
Amit Das,1,2020-08-19,Pathetic App! Pathetic UI !👎product catalog not displaying properly (white screen problem). It's frustrating even to browse!
Goldy's Creations,1,2021-07-25,"Worst experience, I placed my order but after waiting for 2 weeks when I call for delivery status they said it was not dispatched 👎👎👎👎👎👎👎 even they don't inform me neither for wait nor for cancellation😵 Worst app"
Munish Gupta,1,2019-10-14,"Don't ever buy from Bighaat , there is no options for returns , refund .They have got old stock 1to 2year old which they are selling if you want to return the product then there is no option you have to keep the product there's no other options. THE PRODUCT EXPIRY IS 24MONTHS N BIGHAAT SUPPLIED 16+ MONTHS OLD PRODUCT ONLY FEW MONTHS LEFT FOR EXPIRY. NO EXCHANGE RETURN N REFUNDS. PLEASE BUY FROM SOME OTHER REPUTED ONLINE SITES WHERE THERE'S EASY RETURNS N REFUNDS , BIGHAAT NOT RECOMMENDED."
MAGANTI PRABHAKAR RAO,5,2022-03-14,Very helpful to farmers
Bhim Raika,4,2022-03-14,Dear Sir Namaste from Bhutan 🇧🇹 Please make this app available for Bhutan. Thank you.
John Andex,4,2019-09-04,Liked it
Gangaraju k,5,2022-03-14,Very useful bighaat app
Ravi Teja,5,2022-03-14,Best app for modren agriculture
Phani Kumar,5,2022-03-17,Good app from farmers in India
Venkataramana Alamanda,5,2022-03-17,This is good app from farmers
Trvvsatyanarayana Thota,5,2022-03-19,Nice app from farmers
narasim Gouda,5,2022-02-03,Excellent work 👍 in
Rajput Surya,5,2021-09-15,I have ordered some products from this app and it worked really good Application is easy to use as well product rates are very affordable.. Thank you BigHaat 🙏
Ramya N,5,2020-06-28,"Good team support, I received my product on time even in this tough situation... Every farmer has to use this app .. Thanku for quality product."
Sirigi Prasad,5,2020-11-05,"Very good experience and response,fast delivery.and advisory is very helpful. I got good quality seeds of watermelon, muskmelon,bitterguard, mulching sheet. A new feature kisan vedika in the app is very helpful in providing agriculture advisory."
Sharmila Reddy,5,2020-10-15,Very helpful to farmers. And also providing farming tips and cultivation practices. Best online store for all agri inputs.
misheel bayarjargal,3,2019-07-19,mid
Srinu Manukonda,5,2020-06-27,"From the last few months from lockdow I was searching for buy mulching sheet, but by luck I found this app and plce the order in store, I was got the stock in time, Thx to Team Bighaat.. 🙏"
OMKAR SRI LAKSHMAN,5,2022-03-16,Very nice app
shivu teggelli,5,2022-01-19,It contain good information with latest chemicals
Vishakh Reghu Kumar,5,2022-02-22,Best app for farmers!
Vignesh Aravind jCIetKwMkq,5,2022-02-04,Very useful app.
Anudeep Mogilicharla,5,2022-02-04,User friendly app for farmers
na ni,5,2022-02-18,Good to have this products .
Amritanshu Kumar,5,2022-02-04,User friendly app for farmers..
Marichala Deepak,5,2022-03-16,Thanks for use app
Harish SG,2,2020-06-22,The screen goes complete white without any display while scrolling....there is some bug. Pls fix it
Cody Schlickbernd,3,2018-05-10,"There is a bug that won't let you change implement width using imperial 
units. You have to set first and then switch to metric to make it change. 
The UI could use improvement. The tracking was awful but that's maybe more 
the phones fault"
Sachin Katiyar,3,2020-07-30,Good concept but app needs improvement . I will make it 5 star kindky improve app. And make separate catagory for Urban seeds (small quantity) tarrace garden for urban farming
Gaddam Chethana,5,2021-09-14,"This is very nice app. It gives guidance to farmers about different crops., usage of pesticides."
Amit Singh,5,2021-09-15,"It's a good app to help of farmer's,and a very good experience to discussed a specialist agronomist. Thanks a lot to team BigHaat."
Bhabani Shankar dash,5,2021-02-14,Pls show the Item Picture in left side when viewing Ordered list. Also note Order list view now properly viewing and it's needs scrolling. Need improvement.
reddy hemasekhar,5,2020-12-15,I am very happy with this app .This app very usefull to the formers .I am using this app since 3 years thay provide good quality products delivery also good .once again thanks to BigHaat.
Shakuntala Indukuri21,5,2022-02-08,Bighaat is a very good app we can get agri inputs as well as crop advisory in our regional languages.
Padali Balaji,5,2022-03-16,Most information this app
Ishwarya Gopinath,5,2022-03-03,Useful for farmers
Kondasani balachandra Reddy,5,2020-10-27,"Firstly Wonderful thought, but need to upgrade more.. not only veggies, fruits include flower types also"
Shubham Chobey,5,2020-10-16,"My favorite online agro store. They were open throughout lockdownand fastest delivery was within 7 days at the peak (of lockdown). Good quality seeds, pesticides and fertilizer. Good Price too."
Les Harbour,3,2017-12-01,Has promise but is severely lacking in instructions for use to get the best out of it... especially for saving fields and coverage logging to come back to the next day. A dozen YouTube videos on the obvious functions aren't enough and useless if you need to check how to do some function you find you need out on the job if you don't have internet in the field. Synchronizing data is no good without internet (very patchy where I am) so if you close the app or it crashes then you lose your data. This happens repeatedly and is very frustrating. More instructions please or else I will have to keep looking at competitors.
Gaan Mur Pran,1,2021-07-10,"Bighaat system is very bad. You don't order any parcel. Is aap not option in return and refund. Flipkart, amazon is best. bighat send in 3rd class item. Zero STAR option is best. Froud Bighaat aap."
Alok anand Mishra,5,2022-02-22,Best farming app
Utkarsh Sahay,5,2022-02-25,Best farming app
Manglesh Kumar IaEmkDYHbu,5,2022-02-04,Very helpful app
Usha Nagaraj,5,2020-10-30,Much needed app. Found it very useful. Great initiative.. All the best guys. Keep Growing.
Sam N,4,2019-10-09,"Great app, simple to use and clutter free interface. Are there any plans for curve guidance based on the last pass? Not all fields have straight edges here! Would also be good if you didn't have to create the field first, as when working as a contractor, you may go to fields you haven't been to before and not have time to set it up."
Gus L,1,2021-08-02,"Very frustrating. First of all, the highlight of the implement width does not show anywhere when you open the saved track. Only the line followed by the tractor on top of the other lines for the background map. Second when you try to select a track and share it as KML nothing happens. the share button for the tracks does not work. I can only share the full map but not the tracks that are the most imports thing for me for my spraying records. With this two issues the app is useless for me."
Jay Martin,4,2019-07-03,This app has proved very useful for spray and fertilizer applications for me. My work is involved with GPS mapping in the utility industry and I've worked with numerous GIS softwares. This app is good and I would love to see an option to add problem points to save in the field maps and/or the saved tracks to note rocks or sink holes for hay cutting. This would make it a 5 star rating! I've loaded the app for two of my hay buddies so far. Thank you!
Steve Rawlings,4,2019-12-07,"Good little app. Still using the free version as it does most of what I require. Allow curves and I will be paying for the Premium version... Clear and easy to read in use on a tractor and quite intuitive... which is rare. 😉 I use a Garmin Glo for a better level of accuracy, as the phone or tablet GPS only is not really accurate enough for fertiliser spreading. The app is not suitable without Egnos or RTK for spraying purposes. Would love to see a basic GIS mapping option and Records."
Steven Waller,5,2021-03-31,Excellent app. Still learning more as I go has lots of good features. Has good accuracy with phone gps in a Motorola but will buy an external gps soon to improve accuracy a little. Works amazing spraying a spreading pasture and hay fields always within the 1 feet as I use for my overlap. If you have had your phones gps turned off turn it on for a few minutes before begining to get a good results.
David Acheson,1,2017-06-28,App loads the first time then won't load after that
John Mann,3,2019-06-24,"Great potential but not there yet. Fields are created before navigating. Thats ok. But when those fields are navigated another day, the GPS signal is offset and the program leaves no way to fix it. Needs to be a way to correct GPS signal by going to a known spot and then telling the program where you really are. Also, Lightbar is hard to use. Need to be able to change resolution and size of Lightbar. Could add a poor man's rtk by using another android at a known location to send a data stream."
Francis Charette,4,2019-06-02,"all right, after using it for a bit, I was wondering why it didn't match any of my measuring wheel calcs that i walked around the fields with. it understated surface area by over 15% in some fields, up to 30% in the steepest one I have. Reason is, It doesn't do a 3d calculation of surface area that includes elevations! So basically just a rough calculation of flat surface areas. Makes a huge diff when spraying/planting... Maybe incorporate in next update? Thanks"
Brian Unrau,5,2019-05-20,"like it. has some nice features that I don't even have on my purchased navigation system that costs several thousand dollars, like being able to see the field on satellite image and being able to mark in field boundaries manually without driving around the field. thanks for building this product!"
A Google user,5,2019-01-17,"first time using GPS guidance glad I went with a free app instead of shelling out for a budget light bar setup, I assume it does the same thing, and at first wasn't impressed cos trying to follow the arrows is hard,,,, but after going back to a visual aid primary and then the GPS as an aid on top of that, it's fantastic,"
Ted Landy,3,2019-08-16,"Potentially a useful app for field spraying. Annoying how app always opens with map focused on some irrelevant location hundred of KMs away.  Needs a third option ""A,B point = None"" for those of us who don't need  lightbar guidance & just want to ""display sprayed area"" on the field. Unfortunately it will not connect to an external GPS on my Samsung S9+ running Android v9. App runs, but will not stay connected to Bad ELF BT GPS. Not obvious in the main interface which GPS is in use, therefore first you know of it dropping external GPS is when the steering commands go all weird. Be great if u can fix compatibility with late model Samsung phone and external GPS's."
Drew Tetz,1,2020-05-26,"When i first dowloaded this app i woukd have given it a 10 out of 5. It was awesome. The reason i have rated it this low is now when i go to open it does not load and crashes. I have uninstalled, then re-booted phone, and re-installled. Works once and crashes. I will gladly give another chance and use if bugs can be sorted out - fingers crossed. Just to add, i have not removed yet. Hoping to see a fix before i have to take that action🤷‍♂️🤔"
Brice Christians,4,2019-08-28,"Good app and just started using it today. I had a couple of issues. One field didn't highlight after I saved it, tried everything I could think of. Also when I forwarded to my brother the saved fields he said the acres of each didn't show on his end. Plan to keep using it for now."
I am Second,4,2019-09-03,This app does a great job and is very useful for my field spraying. My only doing on it is I wish the tutorial was more descriptive or there was a really good video on how to set it up. I stumbled through it but figured it out. They recommend the Garmin GLO GPS bluetooth to use with it. Yes - it's worth it!
James Jenkins,3,2020-05-06,"I bought this on a whim the other day while I was pulling an implement in a field and it's almost useless as a stand alone unit. It does work although the inital stated accuract is 9 meters, almost as big as the implement I was pulling. If the additional GPS external attenna gets the correction down to .3 meter that's the same as my 30 year old Trimble WASS batwing. Cheaper I guess but you think 30 years of technology advancement would get you more"
Billy Seal,5,2019-05-13,"I cannot get any customer service response after emailing them several times.  I like the app, however am trying to find an external gps antenna that is compatible to provide ""realtime"" tracking.  I am experiencing 5-8 second latency."
Bat-Erdene Jigj,4,2017-01-16,"AgriBus-Connect, Can't activate by email, can't sign up, is there is having any support forum or help instruction?  Fast respond, And after few hours software updated and problem solved!!!"
Red Falcon,4,2020-08-08,"Easy enough interface, easy to read descriptions and find what you're looking for. GPS mapping is off a bit but that could be my phone or service provider. Still figuring out ways to utilize field navigator and all of its applications."
Niki Zahariev,5,2021-04-13,Hello colleagues. The app works great. Has some very good features. I would indeed increase the accuracy of the signal with some external antenna. Please be good to suggest something that will bring the accuracy under 100sm. Good luck
Charles Boyd,5,2021-05-27,Been using this app a while now. Very useful. Having problem when saving track it should have a default track name like time and date which could be changed later. I've lost more than half my tracks when trying to save them.
Kevin DeWitt,3,2020-05-17,"Worked great for over a year using Garmin GLO2 as an antenna. Today it crashed 6 times in the field after lagging terribly. Works fine for a few minutes then closes. Uninstall, reinstall, same thing. Has there been an update?"
Jacint Ujlaky,5,2019-08-29,"Hi, I am trying to use Your app, but have been experiencing difficulties.  When I launch the app, after about 10minutes of spraying, it starts to seriously Lag. Even when I stop, save the track, clear memory, launch the app again and continue, it lags even sooner.  I have tried using the app on: 1. Xiami Redmi Note 5 Pro, 2018, API level 28, 2. Lenovo Tab4, LENOVO Lenovo TB-X304F. API level 27 It seems to work on the xiaomi, but not on the tablet. Could it be a hardware issue?"
Hugh Loxton,4,2018-09-22,Works really accurately plotting from Google earth images but driving around an area it was not as good. Could have been the low memory phone I was using which couldn't keep up.
Marko Glusac,4,2020-11-12,"Best app for field navigation i have tried. There is space for improvement, like adding tilt correction for positioning would be nice, also heading projection in turns would help as well."
Derek Porter,2,2019-01-13,works great for 20-30 mins than it slows to a crawl and finally locks up. once you restart it works again but all of your sprayed data is lost. I would appreciate help from the devoloper. using garmin glo.
Boothie nz,4,2021-05-18,"It's a good app for keeping track of the area you're working on, just comes down to the accuracy of your GPS. I have a GPS booster I'll be trying. Was still a good guide when doing cultivating at night."
Peter Wiseman,4,2021-04-29,A great tool for farming. I mainly use it to indicate where I've fertilised rather than planning and following the calculated route. Probably due to the irregular and small size of my paddocks. Would benefit greatly from decent operating instructions. I would then award 5 stars.
Brannon Stone,1,2016-09-05,"Junk Does not work, it's  junk"
A Google user,5,2018-12-26,Excellent application. I use it on a Samsung. I have a smartphone Blu Studio Mega LTE and it's said is not compatible. Any suggestions on running it on this device.
Einar Zenka,5,2019-12-14,So far so good. Just installed it on my phone and ran around our one field close to our house to map an area and it surprisingly accurate for using the GPS on my phone alone. If this app proves to be helpful for our farm operations we will consider getting an add on bluetooth GPS unit.
jon tucker,5,2019-04-14,just getting to grips with this app once I got learn how to use it there's one thing that you could do with ab straight is good got a Garmin gol 2 accuracy is down to 0.3 metres. one thing that would be very helpful is an ab Curve line is that coming anytime soon
Gerhard Ferreira,4,2020-07-22,I like it . It does most of the stuff I want . Only bug or issue is that when i want to make my lines for gps my dot to show where i am is not actually where I am so that is one of the main reasons i use this but it doesnt work that well. If you can fix it than i would be verry glad.l
Lorraine Cherland,4,2020-02-21,Got me through in a tight spot doing leucaena rows 10 m spacing. Wish it could handle curves. Had to make smaller areas then change direction.
L M,3,2021-04-18,"I bought a garmin glo gps receiver to get the best accuracy that I could. Still not nearly as accurate as the developers claim. Maybe they got the decimal point on the wrong side of the 3. Garmin gives a 3 meter accuracy rating for the garmin glo, so why does farmis give it a .3 meter accuracy rating? Update I use this app for spreading fertilizer. It's definitely better than guessing how far apart to drive. Makes the fertilizer rate come out pretty close."
Jacob Gubbels,3,2022-03-27,This app has gotten better over the years but you definitely have to spend some money on a good gps receiver to use it
F K,1,2020-09-23,"It says ""Your location is unknown"", but I allowed GPS access. I tried to uninstall/restart a few times, but no success. I'm using a OnePlus 7T with Oxygen OS 10.0.7 Thank you !"
T Crutsinger,4,2019-11-04,"Used once so far while cutting with batwing. Placed gaps a few times on some passes, even though I didn't miss my overlaps on each pass. Still need to use some more."
Marcius rae,5,2019-05-14,this made fertilizing easy. I haven't used all the features yet but as far as i can tell from my first use it was pretty user friendly. I'm spraying later this week and i will definitely use this tool.
Michael Williams,5,2016-06-22,Very good
Matthew Francis,3,2020-12-20,"Seems very cool! I can't seem to get it to save my track. Just asks for a name, no way to hit save or go back. Have to restart the app. Anyone else having this problem?"
Adam Sherriff,1,2020-09-15,Terrible. The app won't let me import a KML file. And I know it isn't currupted because GPS fields area measure uses the same KML file just fine. The app says the file is corrupted when importing. And SHP file will also not import correctly.
Jordan Myers,4,2019-08-26,Relatively easy to use and fairly straightforward. Makes life much easier when you work ground and need to know an exact acreage
Anthony Herpeche,5,2020-03-21,Works very well. I use it in my business to measure fields and prepare my invoices. Have checked it against government maps and it is always close or right on the mark. Will continue to use
Tsatsi Ranthocha,4,2021-08-07,The app is perfect 👌🏽... I'm giving it four stars instead of five because there's only one thing missing... If only it could have projections of inputs as well then I could give it five stars ✨
J,5,2022-03-14,"Works good with receiver, comparable to other guidance. Works excellent paired with RTK base. If you run empty with an application you can come back months later (with the RTK set up) to finish and puts you spot on. Really like how you can record any application from field work, planting to harvest and go back any time and see your work and print out a report. Very easy to use but took a bit of communication from FieldBee to know how to set up."
Michael McCoy,4,2020-05-28,"The app works better than others I have tried. I like the fact that it paints your track with the boom width instead of just a line. I had some difficulty getting it to work right the first 2 times, not extremely intuitive, but I eventually got it. It is very difficult to get the Ap to let go of your phone when you want to do multitasking, like rewind your audio book. I wants to save and close the App no matter what I do. It has a little lag time from course change on tractor to adjust the track and the new course displayed. That is a bit annoying, but for the most part, I like it enough to upgrade to the paid version to reward the programmer and maybe allow the program to evolve."
Alexandros B9hell,4,2021-03-23,Very good app.Easy to install. I work with L2 receiver. The only problem is after some time 1-2 hours the signal in the application becomes slow in relation to machine 5-10 sec. this is very bad because the correction it gives you is from 5 sec back. I don' t know if is the app or the receiver. I communicated with e farmer 2 weeks ago and i have not answer yet!!
Wahroonga Farm,5,2021-09-15,"Hi, It looks great, with a host of useful features and very active support. You can create and synchronise fields with the FieldBee WEB APP on your 'puter. I had problems accessing the WEB APP, but the support crew at FieldBee were excellent and remedied the issue promptly. I will update this review with further details after giving it a spin around a paddock or two."
Rob McW.,4,2019-06-07,"It works good still learning . Really like the updated app with numbered guidance lines. Works great with a better areial. Only issue I had was getting no reply when I had some issues , eventually figured them out. All in all a very good purchase."
