names,stars,dates,reviews
Vajinder Kumar,1,2019-11-03,"Worst, Multiple features available but i don't why Play store suggest me this app when I want to check my areas AQI Not useful for me. Harvest & crops farming related features seems good but not made this app for AQI."
Jaspinderdeep Singh,1,2020-04-30,"I did not like to use this app, not capture pic, do not download it my friends. Waste of data... And waste of time... I am going to uninstall it."
Uday Singh ahun,5,2021-10-20,Best app for diseases identifiction
Anna Margarita Cunanan,4,2021-12-20,nice apps can used dummy account for security of email agriculturists and plant lovers.try thiz 1 4 stars only for the mean time not yet tested on weed identification and others
Akshat Wagadre,5,2019-11-11,This app is really great. Is it possible to get a documentation about its working. I was interested to know what algorithms and tools are used to make this app.
DR.SHRUTIKA KULTHE,1,2020-10-03,Worst app till the date... It shows nothing even camera function is also not working... 😬
Arun Chander,1,2021-06-05,It's too bad if u r not giving tamil language as an option it won't work . It's need to be in tamil language
Justin Curtlin,1,2019-05-09,Waste off time. Every picture I put up can not be find what it is. Don't bother.
Sandra Selinger,5,2019-06-26,"love it! lots of potential, really useful on the field!"
Μιχαλης Κονταξακης,4,2020-03-29,Looks good and gives nice information. Please consider adding Avocados as well! Thanks
Ayushi Sachi,1,2021-02-21,"NVER EVER do not download this app, they have access to whole of your phone WARNING !!!! may be its Chinese funded"
Xi ART,1,2021-05-27,"no privacy at all, its share all your date with third party agent,i will not recommend this app for now."
Atala Keanu Monarshi,3,2020-07-19,"So, this app bombarded me with his ads for 20 times now, and it's stopped after I downloaded it :-V"
Al Masum Gazi,3,2020-04-25,The deep learning needs more samples before going live to audience.
shiva prakash,5,2021-06-16,Unique app for identifying farmers problems and recommend solution by click of single picture
Gagan Deep,5,2022-01-13,Its nice app give accurate result
SIVAKESAVA RAO MUTCHU,5,2022-01-13,Excellent.it is very useful
Mahesh j,5,2022-01-12,Excellent.. it's very useful 😊
Ankush Kamboj,5,2022-01-13,Very good app for checking issue related to diseases and weeds
Loveneesh kamboj,5,2022-01-13,Very nice app
Naveen Dabur,5,2021-10-18,Best application for the farmers
Rene Labis,5,2021-11-29,on going to learn apps
Yashpal Goyal,1,2018-12-07,This app is useless I tried identifying blueberry plant but app was not able to track it
satyanarayana gavara,4,2019-07-13,"this app is very interestingly,and able to find the caller earlier.thank you."
Apdulla Apdulla,1,2021-03-21,where is my language Tamil my language also 20000 years old where is my language your up is always ultimate very good but you miss my language
Umesh Mundkar,5,2021-11-25,Good App for farmers
Carlyle Elwin,3,2020-07-01,May I suggest to add an option to upload an already taken Pic to the app.
I DON'T KNOW,1,2021-11-05,It's not identify the plant proporly
ananth ramalingam,1,2020-07-18,Because there is no option for my mother tongue TAMIL. I hate this app. U guys understand stand one thing. Please search in Google. Which is the oldest language in the world. Your team doesnt give the respect to my mother tongue. Tamilanda...
Raghavan PN,4,2021-10-17,Very good.keep it up.
K E N D I,1,2019-08-22,Why ads all the time its irritating
Arun Kumara G,3,2020-10-20,This app is very good & easy to solve former wilt problems....
Mike Hufford,5,2020-07-27,"Very nice tool, easy to use"
johncy gloria,5,2020-11-26,Excellent app for farmers . Adding local language Tamil will be beneficial
Brenda Hovde,5,2019-10-01,Now I can do this myself instead of bugging my knowledgeable friend of plants and weeds! Gardening made easy
Sayali Dabhole,5,2020-05-18,Easy to use and helpful.
shantanu holkar,3,2021-02-11,Camera feature not opening in Mi note 7 phone please suggest any updates
john tarun,3,2020-08-19,Need to check it practically before upgrade
Deepak Kulkarni,1,2019-10-18,Unable to log in
Nikhil Wavhal,1,2019-08-27,camera doesnt open to take pictures in these app
Esham Apho,1,2019-11-24,Useless apps waste of time useful only to foolish people...
A S,5,2021-06-18,very imformative and use full this app for weed identification and helpful for Agriculture development
Shivani Verma,1,2020-08-20,Didn't show my State (Delhi) for further settings such a useless app.
shahzad Khan,1,2020-12-09,Not so help full not working proper
Anil Yadav,5,2021-06-18,This amazing with respect to desease identification.especially interm of crops here in my field
RAY SINGH,5,2021-06-18,Very very good app for agriculture
R K,1,2019-09-11,Worst app i ever seen the camara is not opening and i want to identify the weed solve it soon plz
Deepak Yadav,5,2021-06-18,Very helpful application for farmer to identyfy weed and disease.
Dr noorjahan Siddiquu,5,2020-08-12,I like beauty that is in your application،beauty of nature and family
Amal Sibi,1,2019-09-24,Have you expand the language to Malayalam also please.
Zorama Ralte,1,2020-07-01,I have 2.5 mbps speed internet yet it said im offline.uninstalled
Benjamin Gaikwad,5,2020-05-17,Great thermal analysis it has
Deepak B,5,2020-09-07,Good app i think it needs updated version
Lima Longchar,1,2021-05-16,This is a useless app it don't even give the correct plant type
Aaba Pawar,5,2022-03-25,Super application for farming
Mayur Rasale,1,2020-08-04,Very bad app I cant find what i want plz donot install this aap
Pavan kumar,5,2021-11-26,Good app.excellent
Ganesh Koolkarni,1,2021-08-23,"Scouting team I am the promoter of this App, there's no sharing options please help"
AFD INDIA,5,2020-12-02,A wonderful app for farmer and field worker
Carolyn Zehender,1,2019-07-31,misidentified many plants. I am a horticulturalist and say this is a lousy app.
Pankaj Yadav,5,2021-06-23,Very good app in agriculture
Puspendra Yadav,5,2021-06-18,Very good app in agriculture
Anil Kumar,5,2019-09-21,Kid games and help her mam please see
rahul swami,5,2021-06-22,Very helpful application for agriculture
Sagar Sharma,1,2020-09-24,Very bad app.. don't waste your tym on it..
Seema Yadav,5,2021-06-18,Very good app in agriculture
Kaynicsxzya Selapensxzya,5,2021-12-11,Dear lord 🙏 Thankyou lords for the everything of drunkings pf the episodes of excellents this app the opportunity i hope less to the returning of goods of just saying tylords. mwuapsxyz 🙏😘 because i will exhales of goods creates from lords the shouts of app scouting. tylords mwuapsxzy 🙏😍💌♥️ #goodevening #ilovejesuschrist. #janica 💚
Swapan kumar Misra,5,2021-10-06,Ok.This program is good.
A Google user,1,2018-12-26,not working fake app
Zo Muana,5,2019-09-03,Very goodand keep it up.
Ajay kahandal,1,2020-09-28,"I have taken photo of my tomato land, when i posted app show there is no dieases on your plant .LOL i will show u pics"
Hemant Raj Savita,5,2019-06-26,good app to identify crop diseases
PANKAJ YADAV,5,2021-06-18,Very informative this app for agriculture
A.R. Suresh Babu,5,2020-04-09,I am down loading this App today.Aftet using inform you the benefit
Cheeath The Runner,1,2021-05-24,Fake and Scamming application don't download
Kevin Beuning,1,2020-08-01,Tried to use the app to ID plants and weeds in our garden. No luck with the weeds & it ID'd a potato plant as a tomato plant..
Amit Yadav,5,2021-06-18,Very informative this app for agriculture
Parul singh,1,2019-02-06,I have deleted this app because it's not functioning.
Sidharth Behura,5,2019-10-05,Nice app for diagnosis of pest problem
Anoop Yadav,5,2021-06-18,Very helpful application for farmer to identify weed and disease
Shailendra Singh,5,2019-06-26,This is a really good product to help improve your crop yield while managing your crop risks
FARMING GYAN,5,2021-01-31,For the peasant brothers Very good application for farming sector It is very helpful in crops.
AAV SAMY,5,2020-08-15,This app worst. Not TAMIL language
Devashish Mandal,1,2021-09-22,This app is too fake so I suggest to don't u use this app
jay dean,1,2021-05-22,This app is useless. The only plant it got right was my cannabis plant. Told me my rhubarb was nettle.
Robert Covington,5,2019-04-30,exceptionally good. I enjoy using it.
Mc Doch Lee,1,2021-09-09,"Very bad, unusefull, Fake not real fact"
Youare Fays,4,2021-03-02,Helpful and need collaboration
HOTEL MADHURI EXECUTIVE,1,2019-08-19,not working aap plz don't download
འìʂհi 17,3,2019-10-09,This app is not so good it just fooled me
Siraj Sk,1,2019-10-24,Faltu app download na kare
Prasanta Kumar Das,5,2018-11-14,Iwant to verify the name of the mobile no with corrosponding name
Naushad Ahmed,1,2020-08-14,........... It's not working... At all... Bad idea 😞
All video,2,2020-08-12,Very very bad land aap
Tamana Sangma,1,2019-02-12,couldn't recognise even aloe vera hopeless
jerrit bochy,1,2019-07-07,Not user friendly. SUCKS
Anil Dalwani,4,2018-11-09,Good to access thanking very much
Dinesh Shinde,3,2020-08-02,No much more crops added fruits plant like Pomegranate
pushya N.S,2,2020-10-23,It's not figuring out any plants
Will Lowder,1,2019-05-13,cant upload a picture of a weed??
haribansh singh,5,2019-08-30,Ok I recive the apple app store We alwase like apple app The apple app is suport of andraid phons
A Google user,5,2018-11-15,For find out actual location
Raj Dalsaniya,3,2020-11-12,Do you have devloper api so we can use same??
THAMBI CHILLI,1,2020-02-29,Tamil language not for Tamil language
sarin khan48,1,2019-08-22,👎👎👎👎 Plz give information Hindi. language.. Don't download nothing Hindi language information
sikh sangathan Uttar Pradesh,5,2019-09-23,It is very good app
Santosh Deshmukh,1,2019-11-02,Can't login
Kiko Hau,1,2019-03-14,"scam app, don't fool our world"
Vansh Pandey,1,2021-09-04,This is very bad app there is written they will show kee tum pechle janam maee kya thaee parr yaha par kuch aur heee hai plese dont download
Alfaz Ahmmed,1,2022-02-21,"No. O. Gv ,"
Guriya Srivastava,5,2019-09-19,I have not download but downloading
RS creations,5,2021-04-02,One of the best app
Chinnu Panchikatti,1,2019-11-14,how to stop shouting of this app
A Google user,5,2018-11-11,tq so much for this app
RN GS AgriTech,1,2019-09-07,Not working Poor bad
Mahesh Mark,5,2019-08-17,It is the best app.
Sonu Paswan,3,2021-10-15,Se kl p Ltd I Niuk was el Se kl p Ltd I Niuk was el
creater vedeous,1,2019-06-05,werest app wast of my time
AGYA RAM,5,2019-11-03,Very good app
Apurv Tupkari,1,2021-11-26,Worst app ever
Ankit lodhi,1,2021-07-20,Kharpatvar not identify properly
KÚÑÄL GHÓSH,1,2020-09-18,THIS IS WORST APP OF THE WORLD 😡😡😡🔥🔥😡😡😡😡
Shivukumara Shivukumara,1,2020-11-02,Super app helpfull
Gurdeep Gill,1,2020-10-23,Punjabi language not show 👎
chandan deokar,4,2019-09-21,Please include pomegranate in crop section
BEAST DIARY,1,2018-12-28,worst useless app
Shankar Kumar,1,2021-08-25,Use vermicompost instead of this
ਗੁਰਬਾਣੀ ਵੀਚਾਰ GPMKC,1,2018-12-09,very bad appps
A Google user,5,2019-01-06,it's working osmm
FAU-G King streaming,1,2019-08-18,It will not identifying the Green capsicum plants
Digvijay Patil,1,2021-07-25,All crops not include
PSG,1,2020-04-16,Not mention New Delhi in your list
S.m Mishra,5,2019-12-13,Best agricultur solution
Smitha P,5,2020-04-23,It helped me a lot
Incredible Kinnaur,4,2020-09-27,"I love it.....,...😘"
Venkata rao Sayaboina,3,2019-09-05,Hi sir i have full information at mirchi(chilli) crop
Nitin Patil,5,2020-06-04,It good app
mr.Unknown jii,1,2021-08-26,Chitiya app I have ever seen..
