names,stars,dates,reviews
Yax Chavan,4,2020-05-03,Very useful app !! I like the feature of pest and diseases and it's management and control. Also the package of practices of crops is very beneficial and also it proved to be very accurate. But the only downside is it's accuracy in terms of crop scanning. I used a lot of apps for farming but none of them was a feature rich app like Plantix !!
A Google user,2,2019-01-09,im having trouble being able to add the plants im growing and the app keeps saying that my profile cannot be found. I love the concept of the app but cant seem to use it the way its intended. maybe its a user error but I've tried doing a lot of different things to get it to work. I WOULD love to use this app though.
VISWARUPA REDDY,5,2022-03-19,Excellent work but please add mosambi crop
Vincent Thole,4,2022-03-11,So nice the app and quick response no so much ad
Manjunathgowda Manjunathgowda,4,2022-02-05,Don't no but you have to strat in orgainic and goods purchases option in your app
Mike Johnson,5,2021-08-14,"Amazing app, especially with all the terrible, deceptive and outright abusive apps out there. Even if it does not support the crop yet, it offers help and advice. This happened one time out of probably 15 correct identifications. It's very responsive and easy to use. EDIT: Their support staff kinda kicks a** too."
Hashim T Abubacker,4,2020-01-10,"This is the Indian version of farmers almanac. App gives both biological and chemical controls which is a plus. Recognizes most of the deficiencies but not all pest problem but thats fine they are working on it, I can see the changes as a long time user. The problem is that it restricts the plant library according to the location and season. Every details or selection of plants needs to be available all the time and recommendation should be given on changing season thats more convenient."
Deveendra Reddy Reddam,5,2018-11-07,"This app is very useful for the new learners. But also provide the meanings of words. In the sense in one state only different areas people will use different words, this would be a challenge for a farmer to understand if it in their local language also. Also provide the photos of pesticides as lot of farmers were not able to understand the biological terms. Thank you"
sreenivasa lokesh,4,2019-04-24,"I am very much connected to the idea. This app was an ad-suggestion by YouTube while watching a vedio, and I quickly got connected with the idea. I feel that this idea deserves an applause as you are trying to connect the dots between a farmer and an agricultural expert, which I believe never in the past was tried this efficiently. I haven't used the app yet , I just download it, but I am excited to use it. I hope the app doesn't disappoint."
TheRealM,2,2020-05-22,"It needs to add a lot more vegetables and fruits to the ""select your crops"" or let us add & customize. Also seems like there are a lot of functions to this app, but not clear where or how to access. Has potential."
A Google user,1,2018-12-11,1.It does not cover a lot of crops.. there r very few in it... 2. It crashes whenever i take a picture of infected leave of a plant.. return back to home page with no result. So much disappointed that i m going to uninstall it.. Worst experience
venki alla,1,2022-02-19,Audio not showing in app
Chris Bunch,4,2022-01-22,Good app and I like how u have people from all over with answers I like that it's good for me to get more than 1 answers and possible solutions.
Manoj Sawant,5,2021-11-03,"The problem is solved quickly & Proper information is provided, One of the good features is that if you search for a photo of any crop or fruit, you will get the answer immediately and The solution is also suggested there so it is better to decide what to do next."
Francis Anang,4,2019-08-13,Just downloaded it today and it really great. it was very helpful for my extension work. Would have been very happy if more of tropical crops were/are included in this app. They should optimize it by countries so that crop can easily be identified and proper diagnostic of crop. Good work by the team.
Mahendra Thakare,4,2020-07-30,"Wow, this is a wonderful app and help me a lot . As I am newly in the farming sector and doesn't having that much of knowledge about the farming. These app gives me a complete guidance about the crops, it's management, harms and controls. And the weathered Cliemets. I hartly thanks to this app and team for these great effort towards the farming sector."
Jon Tse,1,2018-11-02,Only using this app are photos on my phone not completely in focus. Was finally able to upload some pretty obvious photos of scale mite which the app couldn't identify. Disappointing.
Clever Munsunge,3,2022-01-06,"I hav really enjoying using this app ever, it even guide whether if you can apply pesticides or not."
NM,5,2022-01-13,I like plastic as because of its quick and valuable response and advice.
Sourabh Naik,5,2022-02-11,App is very nice and good work is app he app is very good working and best thinking reports😊👍👍
SAGEN KISKU,1,2022-01-30,"App is not working properly,even l am not getting any information like mustered crop and others.."
Gurinder Singh,1,2019-07-02,"Useless app for me. The app asks you to pick top 4 crops you are interested in and its really frustrating that you are forced to select from a VERY limited collection of crops that dont include the ones i want like kale, spinach, garlic, broccoli, beets."
Fabrice Muhinyuza,4,2022-03-07,Very nice apps its a docyor for all plants
g upender g upender,1,2022-01-26,Completely wrong identification and not given to the solution this app only for fertilizer shops advertising purpose so friends don't install this app
srikanth kuruma,4,2022-02-28,Very helpful for all crops
settu rathinam,5,2022-03-07,Good service to formes
Srinu Srinivasulu,5,2022-03-03,It is very useful for farmers those who educated well
mohammed khan,5,2019-08-13,"I think its the best app for agriculture. Had a bug in the app after updating, the plantix team was responsive enough in helping me getting it fixed. Really appreciate. Advisory feature was not showing even after several updates, all it needed was uninstalling and reinstalling again."
Alicia Donnell,3,2020-09-25,"I absolutely love this app! The community of people are so right there to help you out when you have a question and are very insightful. They are also very accepting of your input as well and to date I have not seen anyone shame anyone for a possibly incorrect answer or anything. However, I wish there were 2 things I could change about it though.... I wish there were more plant identification, I also wish that categories were added rather than just things that yields edible contents"
Ashley McCammon,1,2021-06-03,"Wouldn't accept any of my pictures of my sick tomato. ""Too blurry"" ""too far away"" etc etc. I never even was able to use it because it wouldn't accept anything. Good idea but the app isn't friendly to phones aren't the absolute newest with the best camera."
Ananth Prabhu,4,2022-02-02,"This app is very usefull to farmers as well as Dealers, We can get Effective Solutions about Agriculture , Plantation related Problems. I am a Agri Input Dealer and as per my Knoledge everyone should install this App & get Solutions of their Problems.. Thank you Plantix"
Cory Pritchard,3,2020-04-11,"Very handy app, awesome idea, and I hope it is continued to be updated and improved. My biggest concern with the app is potentially misdiagnosis of plants. The app doesn't ask basic questions that could instantly solve most problems beginner gardners will have. How often do you water? How often do you fertilize? What is your soil mixture? What all have you done to help the plant already? Did you water more or apply more nutrients? Transplant? Overtrim it?"
Devi Lamare,4,2022-01-16,. I love to read about plants . Thanks plantix app . To help me for more information about plants .
Pramod Kumar,5,2022-02-01,"Good to diagnose the problems in plants, very helpful"
Hemal Alim,5,2022-01-12,Really informative and easy to use
Sridhar G,5,2021-11-24,I had a query regarding my plant which was suffering from a insect infestation. The problem was there from some years. I decided to try plantix. I posted the problem and the solution was given in the community within minutes. Thanks a lot Plantix and its helpful community.
Ram Sridharan,4,2018-12-20,"This portal on plants, finding the identity, the disease, the remedy is really help full, at the same time needs to be more educative, at times the subscribers send photo of plants and it is very diffocult for the soft ware to identify from.the photo, like today, I sent a photo-shot small baby apple plant which was showing curling of its leave with wrinkles, it could not be diagnosed correctly as to what could be cause. However, the site is very help full. thanks. - ram sridharan."
Krishna Muralidharan,5,2022-02-07,Super app. Great idea. Very useful
Obi Reddy,5,2022-02-18,It's very useful for cultivation guidens per new farmers aswell experienced farmers.
Channamaneni Anandarao,3,2022-02-18,Good forming service
Hugo Rochefort,5,2019-02-16,"Very interesting app, even for me who is a novice and just want to learn things about plants. The community is very well informed and always have some good advices. The UI of the app is perfect, good job!"
Joy Mukherjee,5,2021-02-08,"Excellent app,I have had a terrace garden comprising of 100/125 plants in pots for over 10 years. All this time I was at the mercy of the gardener/ mali, with his limited knowledge,now all that has changed due to Plantix app,kudos to you. The community concept is awesome and people are very helpful. Wish I could source plants ,seeds,and insecticide/ pesticides from this app. It would complete the circle."
Rajat Verma,5,2021-07-20,"Really great app. It helped me with the problems I was facing in my small kitchen garden. They have huge,well researched and catalogued database. Very efficient, do keep up the great work you are doing."
Anisoddin Israil,5,2022-03-20,Very nice and very much helpfull 100%
Dilpreet Singh,5,2021-06-11,"It's the best application for detecting what happening to your crops. Less time consuming with great service, problem is solved in between 24 hours after uploading picture. Loved it. Would definately recommend to others."
Sakthivel VP,5,2021-11-11,It's very useful and full satisfying in thair application my best wish for feature and one more thanks 😊
Mad Tatter/ GH2KT,1,2021-12-12,"So far I just started this app. and my job is to find out what works, and doesn't work. So time will tell all!!"
Technical Update,5,2021-11-28,I can say that this app is awesome first time i got to know from an ad and now i am fan of this app it always solves my query no matter how hard it is i am a fan of this app i am very thankful to the makers for making such a great app that helps people a lot
Ferry Effendy,5,2022-03-04,Very useful for identification disease plant
Padmawati Cheche,5,2021-11-12,Very good guidance to protect and growing of plant
Vicky Pradhan,5,2022-02-01,Amazing app for agriculture related information.. Kindly add more no of crops to it
Elisheba,4,2021-03-11,The app is amazing. Love the community feature especially. I would love to see a tab in the profile page where the users can view the questions they have posted so far so that it will be easier to track. That would be really useful. Thanks!
Appa rao Killi,5,2019-05-18,it's an excellent app. the information will reach to almost all remote areas and now it is possible to transfer the technology from lab to land on massive. But it should available in all local languages as all the farmers are not knowing English
leah adcock,5,2021-07-10,This app may be the best app I have on my phone. I live in an area where there seems to be a lot of plant fungus the owners prior to me had a garden and this has been a struggle. So many diseases look similar this app has helped tremendously diagnosing my plant diseases
Sayed Saif Ullah Shah,5,2021-12-03,"A very Nice Application for Growers and Agriculture Extension Workers , No waiting for delayed reply to peasent, An accurate guide on spot ."
Vinod Kukanur,1,2020-12-30,"Till today whatever I have asked plantix (in whatsapp) it has replied only this ""I am sorry, but I am not sure and don't want to tell you anything that is not correct 😔 But please try it again with another image"". I have uninstalled app as it is of no use. I am entomologist I know what problem is with plants. When I upload the photo to plantix, it doesn't identify even major pest and diseases. Really I don't know what good it is for. How helpful it is to farmers."
ge el es pe,5,2021-03-14,Usually it gives around 70 to 80 percent correct. It all depends on the right clear picture you input...but it's useful
Balu Pydi,1,2022-03-22,"No answers for quetions, plants problems"
siva krishna,5,2021-11-14,Very useful in detecting crop pests and suggesting control measures....
