names,stars,dates,reviews
asif Raza,5,2021-06-15,"Good application If you tell them a problem, they will not listen to it for 48 hours. When the plants are completely damaged, their suggestion comes."
Pharmaceuticals Pharma,1,2020-05-21,"Worst app no help yet, I have send many damage on crop but no discuss or help from agrio team. Really such a worst app"
Madhusudan Pokhrel,5,2019-06-09,"I felt,this app must be useful in agronomy,but I have downloaded just 9 hours ago."
adil rehman,5,2020-05-23,Excellent application with usually a quick response...
Nilesh Hadiya,3,2020-08-09,"The idenification of damage | deficiency is good but, there is need to improve/update in recommendations."
Admin Leon Tv,1,2021-07-22,I CANT CANCEL MY SUBSRIBTION I ALMOST LOST MY MONEY IN THIS APP TERRIBLE APP NO CANCEL OPTION. You dont have option for Cancelation its a scam
Sanjib Chaudhary,5,2020-05-22,"Amazing app 👌👌👌... it's very helpful for me, thanks alot to developers..."
omkar more,1,2020-07-07,Worst service ever. Customer service executives are very rude . They don't know how to converse with the clients. Business etiquettes needed
rama chandran,5,2021-09-20,Good app for all Agricultural related problems.
Graeme Humphris,5,2020-07-19,Awesome quick response to my query.. Very helpful.
Sathya Deva,5,2020-07-26,"amazing apps, the experts are very responsive 🤩"
Ravi Kumar,1,2021-09-09,Useless app don't waste ur time it doesn't tells any thing about plant health .
Yogesh Deshmukh,1,2020-03-14,App don't work Just open and close
Abu Bakar Ashidiqy,4,2018-12-11,"We need this APP in Bahasa Indonesia, too"
Amir Valdman,5,2018-09-25,"Great app, easy to use, love it!"
Itai Bar-Sinai,5,2019-04-16,Very helpful and easy to use!
Joe Marie Bragas,4,2021-03-29,"Helps me a lot, though some findings are not exactly the disease but the idea they are given gives you hint of the true cause"
jomel cantor,5,2021-02-06,I really like this app. It will really help me. Thank you ☺️
Mohammad Behgam,1,2019-04-15,"not run in my phone, I can't sign up to app"
Rajbir Singh,5,2020-09-01,I do have nice experience regarding crop disease diagnosis and treatment.
life_is _for_fun,2,2020-04-14,I couldn't able to post images directly from gallery
نعناع,2,2020-06-08,يجب تزويده باللغة العربية The program must be provided in Arabic
hamid rahimi,1,2021-11-09,Bug and bug.
Dinesh bhokre,5,2020-09-01,Is this app available in Hindi language
Brandy Brooks,5,2020-07-04,It's been super helpful. Extremely happy.
Crisanto Canoy,5,2020-10-01,very informative app
Sunil Ojha,4,2020-10-04,"Nice app, really helpful"
fikremariam mekonnen,5,2021-04-15,You are always too closer to the farmers
Tasha Abolla,5,2020-07-05,fast response! Recommended!
Tariq Malik,1,2021-03-05,Its bad thing want undo un installation
Yoed Bassan,5,2020-05-31,helped me several times!!!!
Acarya Nandiishananda,1,2020-10-26,Say no data regarding drumsticks plants so uninstalled.... waste
Yan Tirtha Mulia,5,2018-12-18,"help me alot, thank you"
Frances McCormack,1,2021-05-07,Hi any ideas on how to cancel?
Manendra Pratap,1,2020-08-08,Worst app...they want money..poor creator
malik omary,5,2018-10-11,Nice agricultural app
nihar pawar,5,2021-02-16,Liked your app & I am not a farmer
Gal Biran,5,2019-01-01,Easy to use
Feliciano nicolas,5,2021-02-14,Easy to use
Ahmad Hkmail,5,2021-01-26,From Palestine great app thanx
mazen morgan,1,2019-09-13,It dosent even open
Danny Leshman,5,2018-09-25,A must for every plant owner!
ace marquez,1,2021-03-16,I cant sign up.😢
Divyesh Kothari,5,2019-06-04,is it available for Indian AgroClimate?
A Google user,5,2019-02-12,best agriculture APK
VOYAGER FF,5,2021-02-16,"Take 5 stars , you deserve"
faezeh Fatemi,1,2019-04-12,Not run in my phone
Shri Vlogs,5,2020-07-24,This app is a boon for me
Estifanos Tsegaye,4,2021-11-22,helpful
Shaik Basha,5,2021-07-18,ok
RNold G.,3,2021-05-14,Usefull
zaffer sajad,4,2021-04-21,Excellent response
Muhamad Zain,5,2020-10-22,excellent
Ankita Mishra,4,2020-08-23,Good
Dharmesh Patel,1,2020-07-24,Bakvas app
Samer Ahmed,5,2019-07-08,good app
Rupinder Singh,5,2019-04-26,It's an excellent app. give you the best diagnosis and proper guidelines for treatment.
Tzvi Shir,5,2019-04-15,Wonderful app!
A Google user,4,2018-12-20,Really awesome
A Google user,5,2018-11-01,Thank you
A Google user,5,2018-10-20,Nice aoo
A Google user,5,2018-10-26,Good!!!!!!!
Ramaarao Vanapalli,5,2018-10-23,Great app
A Google user,5,2018-10-30,Very useful
지연정,5,2018-11-01,😙
Lim Chao,5,2018-10-30,Great app
